sample_id,filename,typing_pattern,password,num_keystrokes,avg_dwell_time,avg_flight_time,user_type
1,sample1.csv,slow_typer,securepassword123,17,184.3605882352941,173.83882352941174,
2,sample2.csv,moderate_typer,securepassword123,17,114.22176470588235,108.82058823529414,
3,sample3.csv,careful_typer,securepassword123,17,153.55,136.35352941176473,
4,sample4.csv,fast_typer,securepassword123,17,80.9929411764706,95.74176470588236,
5,sample5.csv,careful_typer,securepassword123,17,148.18529411764706,147.9135294117647,
6,sample6.csv,erratic_typer,securepassword123,17,155.0670588235294,121.05529411764707,
7,sample7.csv,two_finger_typer,securepassword123,17,205.4358823529412,224.14529411764704,
8,sample8.csv,slow_typer,securepassword123,17,200.01823529411763,157.33117647058825,
9,sample9.csv,expert_typer,securepassword123,17,64.62941176470588,81.68235294117646,
10,sample10.csv,fast_typer,securepassword123,17,90.11470588235295,106.99117647058823,
11,sample11.csv,fast_typer,securepassword123,17,82.8029411764706,112.78176470588235,
12,sample12.csv,careful_typer,securepassword123,17,167.96235294117648,148.74,
13,sample13.csv,expert_typer,securepassword123,17,64.05235294117648,65.85588235294118,
14,sample14.csv,expert_typer,securepassword123,17,62.95411764705882,73.13411764705882,
15,sample15.csv,careful_typer,securepassword123,17,173.86588235294118,129.29999999999998,
16,sample16.csv,moderate_typer,securepassword123,17,126.04823529411766,133.67,
17,sample17.csv,moderate_typer,securepassword123,17,125.52705882352942,113.49411764705883,
18,sample18.csv,careful_typer,securepassword123,17,172.58882352941174,146.95470588235295,
19,sample19.csv,careful_typer,securepassword123,17,155.22117647058826,142.49235294117648,
20,sample20.csv,slow_typer,securepassword123,17,191.81,178.12117647058824,
21,sample21.csv,erratic_typer,securepassword123,17,137.75,119.09,
22,sample22.csv,moderate_typer,securepassword123,17,133.0229411764706,123.02352941176471,
23,sample23.csv,careful_typer,securepassword123,17,152.3558823529412,164.3394117647059,
24,sample24.csv,moderate_typer,securepassword123,17,134.75764705882352,137.40823529411765,
25,sample25.csv,moderate_typer,securepassword123,17,122.48941176470589,111.33823529411765,
26,sample26.csv,moderate_typer,securepassword123,17,125.33352941176472,109.77235294117646,
27,sample27.csv,moderate_typer,securepassword123,17,113.84352941176472,151.3705882352941,
28,sample28.csv,expert_typer,securepassword123,17,80.16470588235293,84.82235294117646,
29,sample29.csv,erratic_typer,securepassword123,17,156.48882352941177,139.75941176470585,
30,sample30.csv,fast_typer,securepassword123,17,79.04235294117647,80.00882352941177,
31,sample31.csv,erratic_typer,securepassword123,17,125.1064705882353,116.67529411764706,
32,sample32.csv,slow_typer,securepassword123,17,217.05941176470589,164.91058823529414,
33,sample33.csv,fast_typer,securepassword123,17,89.69,89.74823529411765,
34,sample34.csv,moderate_typer,securepassword123,17,129.33882352941174,135.49176470588236,
35,sample35.csv,expert_typer,securepassword123,17,66.21588235294118,72.91117647058823,
36,sample36.csv,fast_typer,securepassword123,17,87.22117647058825,86.30941176470589,
37,sample37.csv,fast_typer,securepassword123,17,85.99235294117648,79.95882352941176,
38,sample38.csv,fast_typer,securepassword123,17,94.17235294117646,97.95294117647059,
39,sample39.csv,moderate_typer,securepassword123,17,122.58176470588235,129.96176470588236,
40,sample40.csv,erratic_typer,securepassword123,17,136.91764705882352,117.87764705882354,
41,sample41.csv,careful_typer,securepassword123,17,184.74058823529413,147.65470588235294,
42,sample42.csv,expert_typer,securepassword123,17,66.95411764705882,70.96176470588236,
43,sample43.csv,moderate_typer,securepassword123,17,134.3764705882353,121.87941176470588,
44,sample44.csv,moderate_typer,securepassword123,17,132.85294117647058,117.16823529411765,
45,sample45.csv,two_finger_typer,securepassword123,17,187.57235294117646,189.80882352941174,
46,sample46.csv,fast_typer,securepassword123,17,92.17235294117646,77.56117647058825,
47,sample47.csv,moderate_typer,securepassword123,17,114.2035294117647,127.91470588235295,
48,sample48.csv,fast_typer,securepassword123,17,87.54352941176471,88.70588235294117,
49,sample49.csv,moderate_typer,securepassword123,17,119.11470588235295,148.91058823529409,
50,sample50.csv,careful_typer,securepassword123,17,179.04882352941175,133.38529411764708,
